request_id,request_date,deadline,event_type,job_description,request_text
R001,2025-01-05,2025-01-20,office,Standard office paper restock,Please send 10 reams of A4 paper for our office.
R002,2025-01-06,2025-01-25,wedding,Wedding ceremony programs,We need 8 packs of cardstock for ceremony programs.
R003,2025-01-08,2025-02-05,office,Quarterly office paper restock,We'd like to order 80 reams of letter paper for the quarter.
R004,2025-01-10,2025-02-10,conference,Annual conference handouts,Please quote 200 reams of A4 paper for our annual conference.
R005,2025-01-12,2025-01-25,school,Back-to-school sticky-note bundle,Please send 300 packs of sticky notes for back-to-school.
R006,2025-01-15,2025-01-17,wedding,Last-minute wedding programs,We need 30 packs of cardstock by tomorrow for a wedding rehearsal.
R007,2025-01-18,2025-01-22,marketing,Tight-deadline event handouts,Please rush 150 reams of A4 paper by Friday for an event.
R008,2025-01-20,2025-01-22,marketing,Tradeshow posters in two days,We urgently need 100 posters by tomorrow for a tradeshow.
R009,2025-01-22,2025-01-28,marketing,Large glossy print run,Looking for a quote on 300 boxes of glossy photo paper.
R010,2025-01-24,2025-02-15,office,General stationery inquiry,"Hello, can you help with stationery for our office?"
R011,2025-01-26,2025-02-20,office,Non-paper supply request,I need 50 staplers and a few other supplies.
R012,2025-01-28,2025-03-01,marketing,Photo prints for spring catalog,Please quote 60 packs of glossy photo paper for our spring catalog shoot.
R013,2025-01-30,2025-02-15,school,Small notebook bundle for tutors,We need 5 packs of notebooks for our tutoring team.
R014,2025-02-02,2025-02-18,office,Standard envelope restock,Please send 12 boxes of envelopes for our mailroom.
R015,2025-02-04,2025-03-10,school,District-wide sticky-note refresh,Please quote 550 packs of sticky notes for our school district refresh.
R016,2025-02-06,2025-03-15,wedding,Wedding stationery bundle,Looking to order 100 reams of A4 paper and 50 boxes of invitation envelopes.
R017,2025-02-10,2025-02-12,marketing,Late ad-campaign posters,Need 100 posters by tomorrow for an ad campaign launch.
R018,2025-02-15,2025-03-20,marketing,Marketing launch posters in stock,Please quote 40 posters for our spring marketing launch.
R019,2025-02-18,2025-03-05,wedding,Wedding ceremony bundle,Please quote 20 packs of cardstock for wedding invitations.
R020,2025-02-22,2025-03-30,conference,Mid-size conference prep,Please quote 150 reams of A4 paper for our regional conference.
